sortie_id,customer_id,distance_km,duration_min,co2_kg,aerial_risk,cost_usd,resilience_effect
SRT_0003,C01,5.997,10.9663,0.2153,0.14693,1.8123,-3.4708799999999997
SRT_0001,C01,7.9082,13.505,0.2496,0.19375,1.9862,-4.242375
SRT_0008,C02,5.2748,10.0069,0.1625,0.13836,1.722,-3.1565149999999997
SRT_0007,C02,7.8692,13.4532,0.2222,0.1928,1.9663,-4.22662
SRT_0010,C03,3.555,7.7224,0.0856,0.08901,1.5371,-2.480315
SRT_0011,C03,5.4236,10.2046,0.133,0.15124,1.7157,-3.1935099999999994
SRT_0015,C05,4.5506,9.0449,0.1378,0.11149,1.6489,-2.88699
SRT_0019,C06,6.1536,11.1743,0.174,0.15076,1.7994,-3.534105
SRT_0024,C07,0.557,3.7399,0.0134,0.01384,1.2528,-1.274365
SRT_0023,C07,8.137,13.809,0.1955,0.22189,1.9713,-4.2784249999999995
SRT_0027,C08,0.756,4.0043,0.0206,0.01852,1.2731,-1.3552049999999998
SRT_0028,C08,7.4398,12.8828,0.2282,0.20545,1.9356,-3.995354999999999
SRT_0032,C09,1.2774,4.6969,0.0373,0.03704,1.3251,-1.551315
SRT_0031,C09,6.979,12.2707,0.1785,0.19273,1.8682,-3.8129199999999996
SRT_0035,C10,3.7174,7.9381,0.1188,0.10366,1.5705,-2.519185
SRT_0034,C10,7.129,12.47,0.2138,0.20043,1.9019,-3.8634249999999994
SRT_0033,C10,8.3092,14.0377,0.2315,0.20358,2.0072,-4.4042449999999995
SRT_0039,C11,2.7216,6.6153,0.0939,0.07935,1.4755,-2.11698
SRT_0038,C11,6.4332,11.5457,0.2072,0.18359,1.8422,-3.5820199999999995
SRT_0042,C12,1.8416,5.4463,0.0452,0.04611,1.3752,-1.79093
SRT_0047,C13,3.2826,7.3605,0.0845,0.0957,1.5146,-2.3369249999999995
SRT_0046,C13,6.6784,11.8714,0.161,0.19059,1.8334,-3.6785149999999995
SRT_0045,C13,8.4844,14.2705,0.1909,0.21146,1.9963,-4.466025
SRT_0052,C14,3.821,8.0757,0.1165,0.10949,1.5774,-2.5527699999999998
SRT_0051,C14,5.8172,10.7274,0.1599,0.15259,1.7638,-3.3731149999999994
SRT_0055,C15,1.4064,4.8682,0.0349,0.03446,1.334,-1.6177199999999998
SRT_0056,C15,6.3098,11.3818,0.1827,0.17862,1.8172,-3.5370799999999996
SRT_0059,C16,2.4722,6.284,0.064,0.06057,1.4372,-2.0479749999999997
SRT_0058,C16,8.05,13.6934,0.1907,0.22757,1.9614,-4.223764999999999
SRT_0063,C17,1.1214,4.4896,0.0292,0.03174,1.3077,-1.49201
SRT_0062,C17,6.9176,12.1892,0.1664,0.19555,1.8558,-3.7773449999999995
SRT_0067,C18,3.1224,7.1477,0.0948,0.0765,1.5081,-2.3104449999999996
SRT_0071,C19,3.874,8.1461,0.0957,0.10162,1.5688,-2.5970850000000003
SRT_0072,C19,4.346,8.7731,0.1239,0.12603,1.6239,-2.7555099999999992
SRT_0070,C19,8.4618,14.2404,0.2134,0.21545,2.0082,-4.445514999999999
SRT_0075,C21,2.2202,5.9493,0.0496,0.06473,1.4081,-1.92043
SRT_0074,C21,5.5694,10.3982,0.1233,0.15509,1.7214,-3.2516449999999995
SRT_0076,C21,8.4916,14.28,0.2094,0.23874,2.0082,-4.4011499999999995
SRT_0080,C22,8.1324,13.8029,0.2235,0.21051,1.9881,-4.30474
SRT_0084,C23,3.0744,7.084,0.0752,0.08916,1.4922,-2.2564999999999995
SRT_0083,C23,4.6806,9.2176,0.0984,0.12602,1.635,-2.91111
SRT_0088,C24,2.9056,6.8597,0.0852,0.08426,1.4849,-2.190245
SRT_0087,C24,4.8748,9.4756,0.1222,0.13124,1.6652,-2.9883599999999997
SRT_0091,C25,3.1672,7.2072,0.0988,0.09234,1.5142,-2.29167
SRT_0090,C25,6.289,11.3541,0.1845,0.17948,1.8167,-3.525235
SRT_0089,C25,8.4774,14.2612,0.2325,0.21487,2.0213,-4.454245
SRT_0095,C26,1.2962,4.7218,0.0398,0.03669,1.3282,-1.5609049999999998
SRT_0094,C26,7.0956,12.4256,0.1981,0.20359,1.8896,-3.839984999999999
SRT_0099,C27,5.6552,10.5122,0.1656,0.13855,1.7544,-3.3328949999999997
SRT_0103,C28,4.1048,8.4527,0.0964,0.10057,1.5877,-2.70702
SRT_0107,C29,5.2614,9.9891,0.1591,0.1289,1.7188,-3.173935
SRT_0111,C30,3.4664,7.6047,0.1072,0.09813,1.5433,-2.4163200000000002
SRT_0110,C30,5.1658,9.8621,0.1597,0.12934,1.7115,-3.1283849999999997
SRT_0112,C30,7.6582,13.173,0.2644,0.20883,1.9753,-4.088475
SRT_0116,C32,1.8926,5.5141,0.0603,0.05489,1.3885,-1.79271
SRT_0115,C32,6.983,12.276,0.2053,0.19284,1.885,-3.8145
SRT_0120,C33,1.5804,5.0994,0.039,0.04583,1.3504,-1.6702149999999998
SRT_0119,C33,7.166,12.5191,0.1579,0.19789,1.8705,-3.88696
SRT_0122,C34,1.3352,4.7736,0.0371,0.03415,1.3297,-1.585385
SRT_0123,C34,6.7952,12.0266,0.195,0.18948,1.8636,-3.7356099999999994
SRT_0128,C35,1.4838,4.971,0.0482,0.04149,1.3484,-1.6361249999999998
SRT_0127,C35,7.618,13.1196,0.2276,0.20774,1.9495,-4.072509999999999
SRT_0131,C36,1.9156,5.5446,0.05,0.04693,1.384,-1.823285
SRT_0132,C36,7.5702,13.0561,0.2208,0.20905,1.9415,-4.04701
SRT_0136,C37,6.0554,11.0438,0.186,0.15464,1.7989,-3.478729999999999
SRT_0139,C38,8.4384,14.2094,0.2226,0.20674,2.0121,-4.45644
SRT_0143,C39,1.3286,4.7649,0.0351,0.03255,1.3279,-1.5863399999999999
SRT_0142,C39,7.0232,12.3294,0.1893,0.19368,1.8784,-3.831089999999999
SRT_0144,C39,7.0584,12.3762,0.214,0.19737,1.8963,-3.8382449999999997
SRT_0147,C40,4.9192,9.5345,0.1383,0.12052,1.6787,-3.0357749999999997
SRT_0151,C42,7.2186,12.589,0.1874,0.17686,1.8928,-3.9640000000000004
